[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000592s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | SQL: SELECT * FROM `hd_goods` WHERE ( `id` = '2' )  [ RunTime:0.000232s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.000400s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | SQL: SELECT * FROM `hd_goods_attr` WHERE ( `gid` = '2' ) GROUP BY aid  [ RunTime:0.000308s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.000354s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | SQL: SELECT * FROM `hd_type_attr`  [ RunTime:0.000128s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.000397s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | SQL: SELECT * FROM `hd_goods_list` WHERE gid = 2  [ RunTime:0.000178s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Tag[ view_template ] --START--
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Run LocationTemplate Behavior [ RunTime:0.000091s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000123s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Tag[ view_parse ] --START--
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | NOTIC: [8] Undefined offset: 1 4fc8d7524cfb1c7dafbfe9ff51a69c65.php 第 42 行.
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | NOTIC: [8] Undefined offset: 1 4fc8d7524cfb1c7dafbfe9ff51a69c65.php 第 42 行.
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | NOTIC: [8] Undefined offset: 1 4fc8d7524cfb1c7dafbfe9ff51a69c65.php 第 42 行.
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | NOTIC: [8] Undefined offset: 1 4fc8d7524cfb1c7dafbfe9ff51a69c65.php 第 42 行.
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | NOTIC: [8] Undefined offset: 2 4fc8d7524cfb1c7dafbfe9ff51a69c65.php 第 42 行.
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | NOTIC: [8] Undefined offset: 2 4fc8d7524cfb1c7dafbfe9ff51a69c65.php 第 42 行.
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | NOTIC: [8] Undefined offset: 2 4fc8d7524cfb1c7dafbfe9ff51a69c65.php 第 42 行.
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | NOTIC: [8] Undefined offset: 2 4fc8d7524cfb1c7dafbfe9ff51a69c65.php 第 42 行.
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | NOTIC: [8] Use of undefined constant series - assumed 'series' 4fc8d7524cfb1c7dafbfe9ff51a69c65.php 第 51 行.
