[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000125s ]
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_template ] --START--
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run LocationTemplate Behavior [ RunTime:0.000055s ]
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_template ] --END-- [ RunTime:0.000102s ]
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_parse ] --START--
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run ParseTemplate Behavior [ RunTime:0.003491s ]
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003572s ]
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_filter ] --START--
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run ContentReplace Behavior [ RunTime:0.000161s ]
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run TokenBuild Behavior [ RunTime:0.000103s ]
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000052s ]
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run ShowRuntime Behavior [ RunTime:0.000123s ]
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000588s ]
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_end ] --START--
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run ShowPageTrace Behavior [ RunTime:0.000081s ]
[ 2013-01-22T00:04:52+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_end ] --END-- [ RunTime:0.000133s ]
[ 2013-01-22T00:05:15+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2013-01-22T00:05:15+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000165s ]
