[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SELECT goods.sell_num AS sell_num,goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = '16' )  [ RunTime:0.002430s ]
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 259 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 260 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 261 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 262 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 263 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 264 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 265 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 266 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 267 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 268 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 269 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 270 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 271 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 272 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 273 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 274 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 275 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 276 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 277 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 278 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 279 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 280 common.php 第 146 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 281 common.php 第 155 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 282 common.php 第 155 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 283 common.php 第 155 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 284 common.php 第 155 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 285 common.php 第 155 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 286 common.php 第 155 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 281 common.php 第 230 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 282 common.php 第 230 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 283 common.php 第 230 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 284 common.php 第 230 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 285 common.php 第 230 行.
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | NOTIC: [8] Undefined offset: 286 common.php 第 230 行.
